nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
att48,att,exp_tabu,ts,1.2779910564422607,10628,48,1176,10916,1,288,60,40,501,0.0270982310876928
att48,att,exp_tabu,ts,1.649437427520752,10628,48,1176,10916,1,288,60,40,601,0.0270982310876928
att48,att,exp_tabu,ts,1.771881341934204,10628,48,1176,10916,1,288,60,40,701,0.0270982310876928
att48,att,exp_tabu,ts,2.177996873855591,10628,48,1176,10916,1,288,60,40,801,0.0270982310876928
att48,att,exp_tabu,ts,2.253405809402466,10628,48,1176,10916,1,288,60,40,901,0.0270982310876928
att48,att,exp_tabu,ts,2.7067887783050537,10628,48,1176,10916,1,288,60,40,1001,0.0270982310876928
att48,att,exp_tabu,ts,2.9205613136291504,10628,48,1176,10916,1,288,60,40,1101,0.0270982310876928
att48,att,exp_tabu,ts,3.116373538970948,10628,48,1176,10916,1,288,60,40,1201,0.0270982310876928
att48,att,exp_tabu,ts,3.325458288192749,10628,48,1176,10916,1,288,60,40,1301,0.0270982310876928
att48,att,exp_tabu,ts,3.6341283321380615,10628,48,1176,10916,1,288,60,40,1401,0.0270982310876928
att48,att,exp_tabu,ts,3.979322910308838,10628,48,1176,10916,1,288,60,40,1501,0.0270982310876928
att48,att,exp_tabu,ts,0.0276951789855957,10628,48,1176,12312,1,1684,80,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.2704989910125732,10628,48,1176,11058,1,430,80,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.6527211666107178,10628,48,1176,10979,1,351,80,40,201,0.0330259691381257
att48,att,exp_tabu,ts,0.8957526683807373,10628,48,1176,10979,1,351,80,40,301,0.0330259691381257
att48,att,exp_tabu,ts,1.233349084854126,10628,48,1176,10979,1,351,80,40,401,0.0330259691381257
att48,att,exp_tabu,ts,1.5208864212036133,10628,48,1176,10979,1,351,80,40,501,0.0330259691381257
att48,att,exp_tabu,ts,1.7669813632965088,10628,48,1176,10979,1,351,80,40,601,0.0330259691381257
att48,att,exp_tabu,ts,2.229233503341675,10628,48,1176,10979,1,351,80,40,701,0.0330259691381257
att48,att,exp_tabu,ts,2.5244739055633545,10628,48,1176,10979,1,351,80,40,801,0.0330259691381257
att48,att,exp_tabu,ts,2.8758606910705566,10628,48,1176,10979,1,351,80,40,901,0.0330259691381257
att48,att,exp_tabu,ts,3.2818007469177246,10628,48,1176,10979,1,351,80,40,1001,0.0330259691381257
att48,att,exp_tabu,ts,3.3345255851745605,10628,48,1176,10979,1,351,80,40,1101,0.0330259691381257
att48,att,exp_tabu,ts,3.805478096008301,10628,48,1176,10979,1,351,80,40,1201,0.0330259691381257
att48,att,exp_tabu,ts,4.05374002456665,10628,48,1176,10979,1,351,80,40,1301,0.0330259691381257
att48,att,exp_tabu,ts,4.370112180709839,10628,48,1176,10979,1,351,80,40,1401,0.0330259691381257
att48,att,exp_tabu,ts,4.753709077835083,10628,48,1176,10979,1,351,80,40,1501,0.0330259691381257
att48,att,exp_tabu,ts,0.0212395191192626,10628,48,1176,12312,1,1684,100,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.3543398380279541,10628,48,1176,11058,1,430,100,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.6953458786010742,10628,48,1176,10979,1,351,100,40,201,0.0330259691381257
att48,att,exp_tabu,ts,1.0544679164886477,10628,48,1176,10916,1,288,100,40,301,0.0270982310876928
att48,att,exp_tabu,ts,1.5537712574005127,10628,48,1176,10916,1,288,100,40,401,0.0270982310876928
att48,att,exp_tabu,ts,1.8785881996154783,10628,48,1176,10916,1,288,100,40,501,0.0270982310876928
att48,att,exp_tabu,ts,2.257598876953125,10628,48,1176,10916,1,288,100,40,601,0.0270982310876928
att48,att,exp_tabu,ts,2.61574649810791,10628,48,1176,10916,1,288,100,40,701,0.0270982310876928
